Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Fairlie Aws,37255,H40075,-44.03774,170.77051,403,H,Metservice
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Combined Daily Data at 9am local ("Form 301" Extended)
(Note the max temperature, rainfall and radiation have been put back a day as is standard for a Form 301.
Also note that non standard row charges apply. For details search the help on "f301").
Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),WD_Rel,WS_Rel,WindRun_Rel,Rain_Rel,Tdry_Rel,Twet_Rel,Tmax_Rel,Tmin_Rel,Tgmin_Rel,ET05_Rel,ET10_Rel,ET20_Rel,ET30_Rel,ET100_Rel,Pmsl_Rel,Pstn_Rel,Sun_Rel,Rad_Rel
Fairlie Aws,20170322:0000,303,1.0,144,5.7,181,0.4,8.4,8.0,93.6,12.2,8.2,-,-,-,-,-,-,1013.6,966.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170323:0000,149,1.5,125,7.2,163,0.0,8.5,8.1,94.0,12.3,8.0,-,-,-,-,-,-,1020.3,972.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170324:0000,99,0.8,134,5.7,198,1.2,8.7,8.0,89.8,17.1,6.8,-,-,-,-,-,-,1012.8,965.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170325:0000,195,2.2,133,6.7,188,3.0,9.1,8.7,94.7,10.4,8.7,-,-,-,-,-,-,1018.0,970.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170326:0000,345,0.4,67,3.1,102,15.2,8.8,8.4,94.7,14.9,8.5,-,-,-,-,-,-,1017.5,969.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170327:0000,77,1.8,115,7.7,216,5.4,12.4,11.9,93.7,12.4,8.8,-,-,-,-,-,-,1014.3,967.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170328:0000,120,1.3,124,4.6,124,0.2,7.1,6.7,94.2,19.2,6.6,-,-,-,-,-,-,1016.7,968.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170329:0000,346,1.5,106,5.7,145,0.2,9.3,9.0,95.3,19.1,7.2,-,-,-,-,-,-,1018.1,970.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170330:0000,197,1.1,116,5.7,209,0.0,10.2,9.9,95.4,22.1,7.9,-,-,-,-,-,-,1015.1,967.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170331:0000,195,2.0,251,8.8,161,0.0,16.6,12.9,62.9,22.6,10.0,-,-,-,-,-,-,1014.4,968.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170401:0000,1,1.0,268,7.2,181,0.0,12.6,11.6,88.1,21.2,11.2,-,-,-,-,-,-,1016.6,969.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170402:0000,14,2.9,123,7.2,289,8.2,14.0,12.7,84.9,14.4,12.6,-,-,-,-,-,-,1013.6,966.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
